"","NumCom","CodeClient","Vendeur","PaysLivraison","VilleLivraison","DateCommande","Montant","Port"
"51",51,"Bolid","Felix","Suède","Halmstad","04-août-89"," 3 912,50   "," 421,25   "
"52",52,"Folko","Asterix","Suède","","07-août-89"," 6 410,00   "," 669,00   "
"53",53,"Savea","Tartempion","Etats-Unis","Boise","08-août-89"," 11 444,00   "," 1 184,40   "
"54",54,"Warth","Felix","Finlande","Oulu","09-août-89"," 2 091,20   "," 218,12   "
"55",55,"Richs","Felix","Royaume-Uni","London","10-août-89"," 3 240,00   "," 340,00   "
"56",56,"Blonp","Tintin","France","Strasbourg","14-août-89"," 7 157,50   "," 746,75   "
"57",57,"Lillv","Felix","Suède","Linköping","15-août-89"," 6 270,00   "," 641,00   "
"58",58,"Thecr","Felix","Etats-Unis","Butte","16-août-89"," 275,00   "," 34,50   "
"59",59,"Hungo","Tintin","Canada","Vancouver","17-août-89"," 8 015,00   "," 828,50   "
"60",60,"Lillv","Spirou","Suède","Linköping","18-août-89"," 1 236,00   "," 172,60   "
"61",61,"Seves","Felix","Royaume-Uni","London","22-août-89"," 4 633,00   "," 500,30   "
"62",62,"Eastc","Dupont","Royaume-Uni","London","23-août-89"," 714,00   "," 113,40   "
"63",63,"Alfki","Asterix","Allemagne","Berlin","24-août-89"," 4 276,90   "," 459,69   "
"64",64,"Hungo","Felix","Canada","Vancouver","25-août-89"," 4 862,00   "," 518,20   "
"65",65,"Vaffe","Asterix","Danemark","Århus","28-août-89"," 1 593,90   "," 180,39   "
"66",66,"Savea","Dupont","Etats-Unis","Boise","30-août-89"," 3 918,75   "," 433,88   "
"67",67,"Warth","Felix","Finlande","Oulu","31-août-89"," 1 010,85   "," 146,09   "
"68",68,"Franr","Obelix","France","Nantes","01-sept-89"," 1 432,50   "," 174,25   "
"69",69,"Picco","Dupont","Autriche","Salzburg","04-sept-89"," 1 562,75   "," 202,28   "
"70",70,"Lamai","Tintin","France","Toulouse","05-sept-89"," 1 302,00   "," 176,20   "
"71",71,"Lamai","Spirou","France","Toulouse","07-sept-89"," 2 811,25   "," 301,13   "
"72",72,"Hungo","Tartempion","Canada","Vancouver","08-sept-89"," 19 503,75   "," 1 978,38   "
"73",73,"Folko","Dupont","Suède","Bräcke","11-sept-89"," 9 823,50   "," 987,35   "
"74",74,"Folko","Spirou","Suède","Bräcke","12-sept-89"," 10 930,00   "," 1 125,00   "
"75",75,"Hungo","Felix","Canada","Vancouver","13-sept-89"," 7 045,00   "," 714,50   "
"76",76,"Chops","Spirou","Suisse","Bern","15-sept-89"," 9 094,50   "," 913,45   "
"77",77,"Specd","Spirou","France","Paris","18-sept-89"," 448,00   "," 93,80   "
"78",78,"Lamai","Spirou","France","Toulouse","19-sept-89"," 3 191,20   "," 357,12   "
"79",79,"Ricsu","Bill","Suisse","Genève","20-sept-89"," 5 363,60   "," 542,36   "
"80",80,"Suprd","Tintin","Belgique","Charleroi","21-sept-89"," 2 805,00   "," 313,50   "
"81",81,"Bottm","Felix","Canada","Tsawassen","25-sept-89"," 11 568,00   "," 1 160,80   "
"82",82,"Chops","Milou","Suisse","","26-sept-89"," 2 800,00   "," 291,00   "
"83",83,"Godet","Milou","Suède","Täby","27-sept-89"," 3 616,00   "," 372,60   "
"84",84,"Suprd","Asterix","Belgique","Charleroi","28-sept-89"," 4 407,50   "," 484,75   "
"85",85,"Lamai","Felix","France","Toulouse","29-sept-89"," 4 265,00   "," 455,50   "
"86",86,"Santg","Bill","Norvège","Stavern","03-oct-89"," 2 705,00   "," 277,50   "
"87",87,"Frans","Bill","Italie","Torino","04-oct-89"," 9 920,00   "," 1 032,00   "
"88",88,"Merep","Felix","Canada","Montréal","05-oct-89"," 4 980,50   "," 499,05   "
"89",89,"Linad","Tintin","Suède","Svenstavik","06-oct-89"," 636,80   "," 66,68   "
"90",90,"Galed","Felix","Espagne","Barcelona","09-oct-89"," 1 009,00   "," 146,90   "
"91",91,"Bsbev","Felix","Royaume-Uni","London","11-oct-89"," 4 015,00   "," 420,50   "
"92",92,"Richs","Bill","Royaume-Uni","London","12-oct-89"," 66 666,10   "," 6 701,61   "
"93",93,"Ernsh","Bill","Autriche","Graz","13-oct-89"," 2 281,50   "," 241,15   "
"94",94,"Quick","Tartempion","Norvège","Laurvig","16-oct-89"," 14 445,50   "," 1 475,55   "
"95",95,"Rattc","Tintin","Etats-Unis","Albuquerque","17-oct-89"," 13 099,00   "," 1 348,90   "
"96",96,"Lazyk","Tintin","Etats-Unis","Walla Walla","19-oct-89"," 2 650,00   "," 313,00   "
"97",97,"Ricsu","Spirou","Suisse","Genève","20-oct-89"," 24 800,00   "," 2 501,00   "
"98",98,"Eastc","Dupont","Royaume-Uni","London","23-oct-89"," 22 345,00   "," 2 261,50   "
"99",99,"Savea","Dupont","Etats-Unis","Boise","24-oct-89"," 17 498,15   "," 1 767,82   "
"100",100,"Magaa","Bill","Italie","Bergamo","25-oct-89"," 4 644,00   "," 499,40   "
"101",101,"Dumon","Bill","France","Nantes","27-oct-89"," 9 130,00   "," 958,00   "
"102",102,"Antob","Bill","Italie","Brescia","30-oct-89"," 2 187,40   "," 264,74   "
"103",103,"Blaus","Tintin","Allemagne","Mannheim","31-oct-89"," 7 500,00   "," 782,00   "
"104",104,"Folko","Bill","Suède","Bräcke","01-nov-89"," 7 897,50   "," 805,75   "
"105",105,"Suprd","Felix","Belgique","Charleroi","02-nov-89"," 5 717,25   "," 588,73   "
"106",106,"Suprd","Felix","Belgique","Charleroi","06-nov-89"," 7 339,75   "," 766,98   "
"107",107,"Prini","Asterix","Portugal","Lisboa","07-nov-89"," 2 250,00   "," 232,00   "
"108",108,"Warth","Milou","Finlande","Oulu","08-nov-89"," 4 580,00   "," 491,00   "
"109",109,"Frank","Tintin","Allemagne","München","09-nov-89"," 5 467,50   "," 551,75   "
"110",110,"Quick","Tintin","Norvège","Laurvig","10-nov-89"," 7 127,50   "," 737,75   "
"111",111,"Gourf","Tintin","France","Paris","14-nov-89"," 4 598,00   "," 502,80   "
"112",112,"Rattc","Obelix","Etats-Unis","Albuquerque","15-nov-89"," 4 657,50   "," 477,75   "
"113",113,"Drad","Dupont","Allemagne","Aachen","16-nov-89"," 1 260,00   "," 132,00   "
"114",114,"Fujo","Felix","Portugal","Lisboa","17-nov-89"," 5 623,00   "," 578,30   "
"115",115,"Galed","Felix","Espagne","Barcelona","20-nov-89"," 1 446,00   "," 168,60   "
"116",116,"Oceaq","Felix","Etats-Unis","Aloha","22-nov-89"," 1 809,00   "," 226,90   "
"117",117,"Eastc","Felix","Royaume-Uni","London","23-nov-89"," 4 935,00   "," 532,50   "
"118",118,"Tradm","Bill","Royaume-Uni","London","24-nov-89"," 2 739,00   "," 297,90   "
"119",119,"Whitc","Asterix","Etats-Unis","Seattle","27-nov-89"," 33 020,00   "," 3 343,00   "
"120",120,"Fujo","Milou","Portugal","Lisboa","28-nov-89"," 2 700,00   "," 289,00   "
"121",121,"Lazyk","Milou","Etats-Unis","Walla Walla","30-nov-89"," 392,00   "," 50,20   "
"122",122,"Merep","Dupont","Canada","Montréal","01-déc-89"," 6 605,00   "," 672,50   "
"123",123,"Santg","Milou","Norvège","Stavern","04-déc-89"," 90,00   "," 46,00   "
"124",124,"Vaffe","Felix","Danemark","Århus","05-déc-89"," 10 158,75   "," 1 054,88   "
"125",125,"Hungo","Bill","Canada","Vancouver","06-déc-89"," 4 833,00   "," 484,30   "
"126",126,"Reggc","Dupont","Italie","Reggio Emilia","08-déc-89"," 1 025,00   "," 110,50   "
"127",127,"Victe","Felix","France","Lyon","11-déc-89"," 4 667,50   "," 506,75   "
"128",128,"Wolvh","Felix","Royaume-Uni","London","12-déc-89"," 812,50   "," 81,25   "
"129",129,"Blonp","Tintin","France","Strasbourg","13-déc-89"," 2 690,00   "," 292,00   "
"130",130,"Reggc","Bill","Italie","Reggio Emilia","14-déc-89"," 2 167,50   "," 245,75   "
"131",131,"Hungo","Tartempion","Canada","Vancouver","18-déc-89"," 4 909,50   "," 529,95   "
"132",132,"Merep","Tintin","Canada","Montréal","19-déc-89"," 11 790,00   "," 1 190,00   "
"133",133,"Letss","Spirou","Etats-Unis","San Francisco","20-déc-89"," 7 425,00   "," 746,50   "
"134",134,"Reggc","Asterix","Italie","Reggio Emilia","21-déc-89"," 13 500,00   "," 1 370,00   "
"135",135,"Warth","Tintin","Finlande","Oulu","22-déc-89"," 581,90   "," 101,19   "
"136",136,"Grosh","Tintin","Suède","Frösön","26-déc-89"," 315,00   "," 76,50   "
"137",137,"Hungo","Tartempion","Canada","Vancouver","27-déc-89"," 3 870,00   "," 391,00   "
"138",138,"Antob","Obelix","Italie","Brescia","28-déc-89"," 4 037,50   "," 438,75   "
"139",139,"Dumon","Bill","France","Nantes","29-déc-89"," 1 458,00   "," 163,80   "
"140",140,"Vaffe","Obelix","Danemark","Århus","01-janv-90"," 2 300,00   "," 251,00   "
"141",141,"Lehms","Spirou","Allemagne","Frankfurt a.M. ","03-janv-90"," 1 566,00   "," 171,60   "
"142",142,"Frank","Spirou","Allemagne","München","04-janv-90"," 12 700,00   "," 1 280,00   "
"143",143,"Antob","Asterix","Italie","Brescia","05-janv-90"," 1 650,00   "," 179,00   "
"144",144,"Ottk","Felix","Allemagne","Köln","08-janv-90"," 1 776,00   "," 190,60   "
"145",145,"Arout","Tartempion","Royaume-Uni","Colchester","09-janv-90"," 6 057,50   "," 614,75   "
"146",146,"Gourf","Obelix","France","Paris","11-janv-90"," 2 458,60   "," 246,86   "
"147",147,"Fiska","Tintin","Suède","Östersund","12-janv-90"," 1 360,00   "," 174,00   "
"148",148,"Frans","Spirou","Italie","Torino","15-janv-90"," 6 220,00   "," 645,00   "
"149",149,"Vaffe","Dupont","Danemark","Århus","16-janv-90"," 7 756,80   "," 800,68   "
"150",150,"Oldwo","Dupont","Etats-Unis","Anchorage","17-janv-90"," 7 125,00   "," 726,50   "
"151",151,"Simob","Felix","Danemark","København","19-janv-90"," 3 335,00   "," 380,50   "
"152",152,"Famia","Spirou","France","Paris","22-janv-90"," 161,50   "," 26,15   "
"153",153,"Lehms","Spirou","Allemagne","Frankfurt a.M. ","23-janv-90"," 2 422,50   "," 276,25   "
"154",154,"Victe","Tartempion","France","Lyon","24-janv-90"," 3 188,00   "," 336,80   "
"155",155,"Norts","Dupont","Royaume-Uni","London","25-janv-90"," 1 305,00   "," 141,50   "
"156",156,"Chops","Felix","Suisse","Bern","29-janv-90"," 11 200,00   "," 1 161,00   "
"157",157,"Ricsu","Felix","Suisse","Genève","30-janv-90"," 4 325,00   "," 474,50   "
"158",158,"Hildv","Felix","Suède","Uppsala","31-janv-90"," 5 110,00   "," 554,00   "
"159",159,"Bergs","Milou","Suède","Luleå","01-févr-90"," 5 148,00   "," 562,80   "
"160",160,"Maisd","Felix","Belgique","Bruxelles","02-févr-90"," 3 161,70   "," 358,17   "
"161",161,"Godet","Tartempion","Suède","Täby","06-févr-90"," 247,50   "," 69,75   "
"162",162,"Koene","Tintin","Allemagne","Brandenburg","07-févr-90"," 5 607,00   "," 593,70   "
"163",163,"Chops","Milou","Suisse","Bern","08-févr-90"," 813,45   "," 113,35   "
"164",164,"Frank","Felix","Allemagne","München","09-févr-90"," 8 880,00   "," 895,00   "
"165",165,"Grosh","Tintin","Suède","Frösön","12-févr-90"," 180,00   "," 61,00   "
"166",166,"Linad","Felix","Suède","Svenstavik","14-févr-90"," 4 905,00   "," 494,50   "
"167",167,"Islat","Bill","Royaume-Uni","Hedge End","15-févr-90"," 4 150,00   "," 423,00   "
"168",168,"Savea","Tintin","Etats-Unis","Boise","16-févr-90"," 4 571,10   "," 473,11   "
"169",169,"Savea","Milou","Etats-Unis","Boise","19-févr-90"," 13 164,00   "," 1 365,40   "
"170",170,"Rattc","Bill","Etats-Unis","Albuquerque","20-févr-90"," 6 385,50   "," 680,55   "
"171",171,"Reggc","Dupont","Italie","Reggio Emilia","22-févr-90"," 1 680,00   "," 201,00   "
"172",172,"Bergs","Milou","Suède","Luleå","22-févr-90"," 1 814,00   "," 194,40   "
"173",173,"Islat","Dupont","Royaume-Uni","Hedge End","23-févr-90"," 1 132,50   "," 130,25   "
"174",174,"Folig","Felix","France","Lille","26-févr-90"," 5 262,50   "," 532,25   "
"175",175,"Merep","Dupont","Canada","Montréal","27-févr-90"," 3 180,60   "," 319,06   "
"176",176,"Seves","Bill","Royaume-Uni","London","28-févr-90"," 7 983,65   "," 830,37   "
"177",177,"Bottm","Tartempion","Canada","Tsawassen","01-mars-90"," 3 637,50   "," 408,75   "
"178",178,"Lehms","Spirou","Allemagne","Frankfurt a.M. ","02-mars-90"," 4 888,00   "," 523,80   "
"179",179,"Ottk","Spirou","Allemagne","Köln","05-mars-90"," 3 250,00   "," 349,00   "
"180",180,"Fiska","Milou","Suède","Östersund","06-mars-90"," 1 610,00   "," 164,00   "
"181",181,"Hanop","Bill","Royaume-Uni","London","07-mars-90"," 2 030,00   "," 250,00   "
"182",182,"Fujo","Felix","Portugal","Lisboa","07-mars-90"," 7 710,00   "," 791,00   "
"183",183,"Dumon","Dupont","France","Nantes","08-mars-90"," 1 360,00   "," 176,00   "
"184",184,"Bottm","Spirou","Canada","Tsawassen","09-mars-90"," 1 186,50   "," 162,65   "
"185",185,"Fiska","Felix","Suède","Östersund","12-mars-90"," 2 396,00   "," 272,60   "
"186",186,"Famia","Tintin","France","Paris","13-mars-90"," 1 824,00   "," 198,40   "
"187",187,"Godet","Felix","Suède","Täby","14-mars-90"," 6 019,00   "," 630,90   "
"188",188,"Vaffe","Spirou","Danemark","Århus","15-mars-90"," 5 244,00   "," 531,40   "
"189",189,"Warth","Dupont","Finlande","Oulu","16-mars-90"," 1 713,75   "," 196,38   "
"190",190,"Hildv","Spirou","Suède","Uppsala","19-mars-90"," 1 755,00   "," 216,50   "
"191",191,"Bonap","Bill","France","Marseille","20-mars-90"," 306,00   "," 55,60   "
"192",192,"Magaa","Felix","Italie","Bergamo","20-mars-90"," 1 725,00   "," 206,50   "
"193",193,"Drad","Tartempion","Allemagne","Aachen","21-mars-90"," 1 340,00   "," 161,00   "
"194",194,"Savea","Dupont","Etats-Unis","Boise","22-mars-90"," 20 825,00   "," 2 124,50   "
"195",195,"Picco","Spirou","Autriche","Salzburg","23-mars-90"," 2 732,50   "," 287,25   "
"196",196,"Queee","Felix","Royaume-Uni","Harrogate","26-mars-90"," 19 950,00   "," 2 003,00   "
"197",197,"Lillv","Spirou","Suède","Linköping","27-mars-90"," 22 792,50   "," 2 296,25   "
"198",198,"Lehms","Asterix","Allemagne","Frankfurt a.M. ","28-mars-90"," 2 014,20   "," 230,42   "
"199",199,"Oceaq","Tartempion","Etats-Unis","Aloha","29-mars-90"," 10 002,00   "," 1 014,20   "
"200",200,"Savea","Dupont","Etats-Unis","Boise","30-mars-90"," 7 760,00   "," 790,00   "
"201",201,"Bolid","Bill","Suède","Halmstad","02-avr-90"," 2 058,00   "," 222,80   "
"202",202,"Simob","Tintin","Danemark","København","02-avr-90"," 2 632,50   "," 296,25   "
"203",203,"Frank","Felix","Allemagne","München","03-avr-90"," 9 559,20   "," 985,92   "
"204",204,"Dumon","Bill","France","Nantes","04-avr-90"," 4 700,00   "," 486,00   "
"205",205,"Suprd","Felix","Belgique","Charleroi","05-avr-90"," 10 196,25   "," 1 041,63   "
"206",206,"Hungo","Obelix","Canada","Vancouver","06-avr-90"," 9 882,00   "," 1 005,20   "
"207",207,"Savea","Bill","Etats-Unis","Boise","09-avr-90"," 4 620,00   "," 486,00   "
"208",208,"Tomsp","Tintin","Allemagne","Münster","10-avr-90"," 2 295,00   "," 258,50   "
"209",209,"Ricsu","Bill","Suisse","Genève","11-avr-90"," 1 436,40   "," 186,64   "
"210",210,"Reggc","Asterix","Italie","Reggio Emilia","12-avr-90"," 1 444,80   "," 171,48   "
"211",211,"Folko","Dupont","Suède","Bräcke","13-avr-90"," 7 161,75   "," 757,18   "
"212",212,"Maisd","Bill","Belgique","Bruxelles","13-avr-90"," 2 866,00   "," 299,60   "
"213",213,"Bonap","Spirou","France","Marseille","16-avr-90"," 1 435,65   "," 170,57   "
"214",214,"Bergs","Tartempion","Suède","Luleå","17-avr-90"," 11 050,00   "," 1 140,00   "
"215",215,"Merep","Bill","Canada","Montréal","18-avr-90"," 5 973,00   "," 606,30   "
"216",216,"Wandk","Bill","Allemagne","Stuttgart","19-avr-90"," 4 376,50   "," 456,65   "
"217",217,"Rattc","Bill","Etats-Unis","Albuquerque","20-avr-90"," 2 137,50   "," 257,75   "
"218",218,"Magaa","Dupont","Italie","Bergamo","23-avr-90"," 2 940,00   "," 299,00   "
"219",219,"Antob","Bill","Italie","Brescia","24-avr-90"," 3 895,00   "," 419,50   "
"220",220,"Seves","Tintin","Royaume-Uni","London","25-avr-90"," 4 892,00   "," 496,20   "
"221",221,"Eastc","Felix","Royaume-Uni","London","26-avr-90"," 4 015,20   "," 403,52   "
"222",222,"Magaa","Tintin","Italie","Bergamo","26-avr-90"," 3 780,00   "," 427,00   "
"223",223,"Frank","Felix","Allemagne","München","27-avr-90"," 10 710,00   "," 1 102,00   "
"224",224,"Specd","Felix","France","Paris","30-avr-90"," 1 100,00   "," 133,00   "
"225",225,"Richs","Dupont","Royaume-Uni","London","01-mai-90"," 1 518,75   "," 186,88   "
"226",226,"Savea","Tintin","Etats-Unis","Boise","02-mai-90"," 11 086,50   "," 1 111,65   "
"227",227,"Savea","Tintin","Etats-Unis","Boise","03-mai-90"," 53 453,80   "," 5 390,38   "
"228",228,"Tradm","Milou","Royaume-Uni","London","04-mai-90"," 1 436,40   "," 171,64   "
"229",229,"Centc","Spirou","Italie","Napoli","07-mai-90"," 2 663,50   "," 301,35   "
"230",230,"Lazyk","Tartempion","Etats-Unis","Walla Walla","08-mai-90"," 476,00   "," 84,60   "
"231",231,"Bottm","Spirou","Canada","Tsawassen","09-mai-90"," 10 600,00   "," 1 084,00   "
"232",232,"Bottm","Milou","Canada","Tsawassen","09-mai-90"," 1 552,50   "," 163,25   "
"233",233,"Drad","Felix","Allemagne","Aachen","10-mai-90"," 3 300,00   "," 377,00   "
"234",234,"Bergs","Dupont","Suède","Luleå","11-mai-90"," 2 906,00   "," 336,60   "
"235",235,"Grosh","Felix","Suède","Frösön","14-mai-90"," 4 012,50   "," 406,25   "
"236",236,"Victe","Tartempion","France","Lyon","15-mai-90"," 2 467,50   "," 250,75   "
"237",237,"Seves","Milou","Royaume-Uni","London","16-mai-90"," 6 391,00   "," 662,10   "
"238",238,"Wandk","Tartempion","Allemagne","Stuttgart","17-mai-90"," 3 188,00   "," 332,80   "
"239",239,"Bsbev","Dupont","Royaume-Uni","London","18-mai-90"," 2 455,00   "," 255,50   "
"240",240,"Frans","Tintin","Italie","Torino","21-mai-90"," 2 800,00   "," 303,00   "
"241",241,"Bottm","Tintin","Canada","Tsawassen","22-mai-90"," 7 575,00   "," 780,50   "
"242",242,"Bolid","Tartempion","Suède","Halmstad","22-mai-90"," 5 728,50   "," 610,85   "
"243",243,"Lillv","Milou","Suède","Linköping","23-mai-90"," 2 813,50   "," 317,35   "
"244",244,"Consh","Spirou","Royaume-Uni","London","24-mai-90"," 790,00   "," 89,00   "
"245",245,"Richs","Spirou","Royaume-Uni","London","25-mai-90"," 876,00   "," 105,60   "
"246",246,"Hungo","Bill","Canada","Vancouver","28-mai-90"," 2 496,00   "," 298,60   "
"247",247,"Gourf","Tartempion","France","Paris","29-mai-90"," 900,00   "," 99,00   "
"248",248,"Savea","Felix","Etats-Unis","Boise","30-mai-90"," 7 210,65   "," 729,07   "
"249",249,"Vinet","Asterix","France","Reims","31-mai-90"," 1 937,50   "," 220,75   "
"250",250,"Tomsp","Milou","Allemagne","Münster","01-juin-90"," 9 317,00   "," 975,70   "
"251",251,"Hanop","Felix","Royaume-Uni","London","04-juin-90"," 7 763,00   "," 794,30   "
"252",252,"Victe","Tintin","France","Lyon","04-juin-90"," 3 270,30   "," 335,03   "
"253",253,"Suprd","Felix","Belgique","Charleroi","05-juin-90"," 17 989,50   "," 1 812,95   "
"254",254,"Hanop","Tintin","Royaume-Uni","London","06-juin-90"," 7 224,00   "," 734,40   "
"255",255,"Chops","Asterix","Suisse","Bern","07-juin-90"," 2 783,10   "," 294,31   "
"256",256,"Ricsu","Obelix","Suisse","Genève","08-juin-90"," 12 452,50   "," 1 258,25   "
"257",257,"Wellt","Tintin","Royaume-Uni","Sevenoaks","11-juin-90"," 2 589,00   "," 283,90   "
"258",258,"Hildv","Felix","Suède","Uppsala","12-juin-90"," 5 599,50   "," 561,95   "
"259",259,"Ernsh","Dupont","Autriche","Graz","13-juin-90"," 8 074,40   "," 814,44   "
"260",260,"Centc","Felix","Italie","Napoli","14-juin-90"," 504,00   "," 51,40   "
"261",261,"Ottk","Felix","Allemagne","Köln","15-juin-90"," 7 523,25   "," 790,33   "
"262",262,"Queee","Felix","Royaume-Uni","Harrogate","15-juin-90"," 2 240,00   "," 260,00   "
"263",263,"Rattc","Bill","Etats-Unis","Albuquerque","18-juin-90"," 2 920,00   "," 327,00   "
"264",264,"Ernsh","Obelix","Autriche","Graz","19-juin-90"," 9 369,00   "," 938,90   "
"265",265,"Folko","Milou","Suède","Bräcke","20-juin-90"," 3 478,15   "," 374,82   "
"266",266,"Blonp","Spirou","France","Strasbourg","21-juin-90"," 5 880,00   "," 599,00   "
"267",267,"Warth","Tintin","Finlande","Oulu","22-juin-90"," 1 732,80   "," 198,28   "
"268",268,"Frank","Felix","Allemagne","München","25-juin-90"," 17 683,00   "," 1 799,30   "
"269",269,"Grosh","Bill","Suède","Frösön","26-juin-90"," 5 506,00   "," 551,60   "
"270",270,"Whitc","Asterix","Etats-Unis","Seattle","27-juin-90"," 3 211,00   "," 338,10   "
"271",271,"Warth","Dupont","Finlande","Oulu","28-juin-90"," 6 880,00   "," 688,00   "
"272",272,"Splir","Milou","Etats-Unis","Lander","28-juin-90"," 240,00   "," 52,00   "
"273",273,"Rattc","Milou","Etats-Unis","Albuquerque","29-juin-90"," 7 280,00   "," 729,00   "
"274",274,"Quick","Tintin","Norvège","Laurvig","02-juil-90"," 10 186,40   "," 1 048,64   "
"275",275,"Vinet","Milou","France","Reims","03-juil-90"," 2 693,00   "," 300,30   "
"276",276,"Magaa","Dupont","Italie","Bergamo","04-juil-90"," 1 459,20   "," 146,92   "
"277",277,"Tortc","Bill","Italie","Bologna","05-juil-90"," 2 100,00   "," 217,00   "
"278",278,"Morgk","Spirou","Allemagne","Leipzig","06-juil-90"," 6 004,00   "," 613,40   "
"279",279,"Bergs","Bill","Suède","Luleå","09-juil-90"," 7 444,00   "," 762,40   "
"280",280,"Lehms","Bill","Allemagne","Frankfurt a.M. ","10-juil-90"," 1 755,00   "," 178,50   "
